source,target,probability_mean,probability_std,numeric_score_target,known_positive,source_type,target_type,score_final
Task_about_Java_Basics,Level_Up,0.9043326140934885,0.20166778800677335,1.0,True,GamifiedResource,Level,0.923466091274791
Single_level_inheritance,Level_Up,0.8885032425638888,0.20204771053883108,1.0,False,GamifiedResource,Level,0.9108025940511111
Static_Keyword,Level_Up,0.887788758960031,0.20165213095093693,1.0,False,GamifiedResource,Level,0.9102310071680249
This_Keyword,Level_Up,0.8877869759610695,0.2016511519044371,1.0,False,GamifiedResource,Level,0.9102295807688556
Constructors,Level_Up,0.8877862815256272,0.20165077059402745,1.0,False,GamifiedResource,Level,0.9102290252205019
Access_Modifiers,Level_Up,0.8877773069316257,0.20164584293862103,1.0,False,GamifiedResource,Level,0.9102218455453006
Packages,Level_Up,0.8877762098803178,0.2016452406144353,1.0,False,GamifiedResource,Level,0.9102209679042543
Class_Instance,Level_Up,0.8877755482793361,0.20164487737278955,1.0,False,GamifiedResource,Level,0.9102204386234689
Strings,Level_Up,0.8870979303123487,0.20127957421261064,1.0,False,GamifiedResource,Level,0.909678344249879
Functions,Level_Up,0.8864029427492272,0.2009148326235497,1.0,False,GamifiedResource,Level,0.9091223541993818
Multi-level_inheritance,Level_Up,0.8859160568900603,0.20067766402510634,1.0,True,GamifiedResource,Level,0.9087328455120482
Control_Statements,Level_Up,0.8850027377466132,0.2002101460091545,1.0,False,GamifiedResource,Level,0.9080021901972906
Buil-in_Data_Types,Level_Up,0.8847540703549323,0.19346186067113794,1.0,True,GamifiedResource,Level,0.9078032562839458
Loops,Level_Up,0.88431761962234,0.19986752090949272,1.0,False,GamifiedResource,Level,0.907454095697872
Extend_Keyword,Level_Up,0.8817607986487731,0.1990195204381048,1.0,False,GamifiedResource,Level,0.9054086389190186
Task_about_Class_Methods_and_Constructors,Level_Up,0.8810839064656305,0.19873602574059127,1.0,False,GamifiedResource,Level,0.9048671251725044
Function_Types,Level_Up,0.8810766351016749,0.198731751699865,1.0,False,GamifiedResource,Level,0.9048613080813399
Task_about_Classes_and_Objects,Level_Up,0.881070299698304,0.19872799872774122,1.0,False,GamifiedResource,Level,0.9048562397586433
Super_Keyword,Level_Up,0.8801005825231737,0.19823079503638433,1.0,False,GamifiedResource,Level,0.9040804660185391
Inheritance_vs_Composition,Level_Up,0.8791894536830043,0.19804551445453586,1.0,False,GamifiedResource,Level,0.9033515629464035
Task_about_Inheritance,Level_Up,0.8761540159548348,0.19768329760964629,1.0,False,GamifiedResource,Level,0.9009232127638678
Task_about_Java_Basics,Stash,0.8950740526756379,0.20167724860850508,0.9172442572270822,True,GamifiedResource,Reward,0.8995080935859268
Java_FX,Level_Up,0.8722426869158543,0.20875378009779982,1.0,False,GamifiedResource,Level,0.8977941495326835
Static_functions,Level_Up,0.8667951491367039,0.19220890297050053,1.0,False,GamifiedResource,Level,0.8934361193093632
Event_Listeners,Level_Up,0.8622571464077031,0.21184718818061246,1.0,False,GamifiedResource,Level,0.8898057171261626
Parent_classes,Level_Up,0.8607883706803807,0.1910282080985326,1.0,False,GamifiedResource,Level,0.8886306965443047
gr,Level_Up,0.8507544770960502,0.21200617921431741,1.0,False,GamifiedResource,Level,0.8806035816768403
Polymorphism,Level_Up,0.8462939613332996,0.2147536798103214,1.0,False,Lesson,Level,0.8770351690666398
Variables,Level_Up,0.8462152395770788,0.1892758495827941,1.0,True,GamifiedResource,Level,0.8769721916616631
Class_attributes_and_functions,Level_Up,0.8462109436456192,0.18927428831449847,1.0,False,GamifiedResource,Level,0.8769687549164955
Java_Basics,Level_Up,0.8450550784304045,0.21552961952136218,1.0,False,Lesson,Level,0.8760440627443236
Class_Methods_and_Constructors,Level_Up,0.8450431982139847,0.21554457324572557,1.0,False,Lesson,Level,0.8760345585711877
Inheritance,Level_Up,0.844835512383618,0.21572275242745007,1.0,False,Lesson,Level,0.8758684099068945
Classes_and_Objects,Level_Up,0.8441729389519488,0.21640905985066727,1.0,False,Lesson,Level,0.8753383511615591
Overloading,Level_Up,0.842632173410993,0.19737954118031867,1.0,True,GamifiedResource,Level,0.8741057387287945
Arguments_and_parameters,Level_Up,0.8418005414339005,0.19168954870385305,1.0,False,GamifiedResource,Level,0.8734404331471204
Files,Level_Up,0.8399638842053581,0.20180652210160843,1.0,False,GamifiedResource,Level,0.8719711073642864
Overriding,Level_Up,0.8391678871232555,0.2012474402792047,1.0,True,GamifiedResource,Level,0.8713343096986044
Input_and_Output_Stream,Level_Up,0.8372769871169782,0.2098771513202509,1.0,False,Lesson,Level,0.8698215896935826
Try_and_Catch,Level_Up,0.8370208425956726,0.20025038341029874,1.0,False,GamifiedResource,Level,0.8696166740765381
Graphical_User_Interface,Level_Up,0.83633448488009,0.2244375605423983,1.0,False,Lesson,Level,0.8690675879040721
Exceptions,Level_Up,0.8360003014193605,0.1997190145485308,1.0,False,GamifiedResource,Level,0.8688002411354885
Buil-in_Data_Types,Stash,0.8560958460612348,0.2001728699762085,0.9172442572270822,False,GamifiedResource,Reward,0.8683255282944043
Single_level_inheritance,Stash,0.8538432309836326,0.19259922329647944,0.9172442572270822,False,GamifiedResource,Reward,0.8665234362323225
